"idsensore","data","valore","stato","idoperatore"
"5555","2024-12-31T23:00:00.000","32.8","VA","1"
"5555","2025-01-01T00:00:00.000","30.3","VA","1"
"5557","2024-12-31T22:00:00.000","67.3","VA","1"
"5557","2024-12-31T23:00:00.000","62.4","VA","1"
"5557","2025-01-01T00:00:00.000","53.7","VA","1"
"5561","2024-12-31T22:00:00.000","81.8","VA","1"
"5561","2024-12-31T23:00:00.000","84.5","VA","1"
"5561","2025-01-01T00:00:00.000","80.3","VA","1"
"5563","2024-12-31T22:00:00.000","64.1","VA","1"
"5563","2024-12-31T23:00:00.000","56.0","VA","1"
"5563","2025-01-01T00:00:00.000","49.9","VA","1"
"5564","2024-12-31T22:00:00.000","67.2","VA","1"
"5564","2024-12-31T23:00:00.000","65.9","VA","1"
"5564","2025-01-01T00:00:00.000","68.7","VA","1"
"5568","2024-12-31T22:00:00.000","49.5","VA","1"
"5568","2024-12-31T23:00:00.000","45.3","VA","1"
"5568","2025-01-01T00:00:00.000","41.5","VA","1"
"5572","2024-12-31T22:00:00.000","54.1","VA","1"
"5572","2024-12-31T23:00:00.000","50.2","VA","1"
"5572","2025-01-01T00:00:00.000","48.1","VA","1"
"5574","2024-12-31T22:00:00.000","26.1","VA","1"
"5574","2024-12-31T23:00:00.000","14.0","VA","1"
"5574","2025-01-01T00:00:00.000","18.8","VA","1"
"5575","2024-12-31T22:00:00.000","50.4","VA","1"
"5575","2024-12-31T23:00:00.000","42.9","VA","1"
"5575","2025-01-01T00:00:00.000","44.2","VA","1"
"5576","2024-12-31T22:00:00.000","46.2","VA","1"
"5576","2024-12-31T23:00:00.000","40.6","VA","1"
"5576","2025-01-01T00:00:00.000","41.0","VA","1"
"5577","2024-12-31T22:00:00.000","54.9","VA","1"
"5577","2024-12-31T23:00:00.000","49.6","VA","1"
"5577","2025-01-01T00:00:00.000","45.8","VA","1"
"5579","2024-12-31T22:00:00.000","58.1","VA","1"
"5579","2024-12-31T23:00:00.000","54.7","VA","1"
"5579","2025-01-01T00:00:00.000","46.0","VA","1"
"5586","2024-12-31T22:00:00.000","56.6","VA","1"
"5586","2024-12-31T23:00:00.000","53.9","VA","1"
"5586","2025-01-01T00:00:00.000","45.7","VA","1"
"5587","2024-12-31T22:00:00.000","62.6","VA","1"
"5587","2024-12-31T23:00:00.000","52.4","VA","1"
"5587","2025-01-01T00:00:00.000","53.4","VA","1"
"5591","2024-12-31T22:00:00.000","15.6","VA","1"
"5591","2024-12-31T23:00:00.000","13.7","VA","1"
"5591","2025-01-01T00:00:00.000","17.7","VA","1"
"5595","2024-12-31T22:00:00.000","60.8","VA","1"
"5595","2024-12-31T23:00:00.000","57.6","VA","1"
"5595","2025-01-01T00:00:00.000","51.1","VA","1"
"5598","2024-12-31T22:00:00.000","32.4","VA","1"
"5598","2024-12-31T23:00:00.000","28.3","VA","1"
"5598","2025-01-01T00:00:00.000","26.8","VA","1"
"5599","2024-12-31T22:00:00.000","58.4","VA","1"
"5599","2024-12-31T23:00:00.000","52.9","VA","1"
"5599","2025-01-01T00:00:00.000","47.2","VA","1"
"5601","2024-12-31T22:00:00.000","36.8","VA","1"
"5601","2024-12-31T23:00:00.000","30.5","VA","1"
"5601","2025-01-01T00:00:00.000","29.5","VA","1"
"5603","2024-12-31T22:00:00.000","59.2","VA","1"
"5603","2024-12-31T23:00:00.000","56.6","VA","1"
"5603","2025-01-01T00:00:00.000","52.3","VA","1"
"5607","2024-12-31T22:00:00.000","46.7","VA","1"
"5607","2024-12-31T23:00:00.000","38.0","VA","1"
"5607","2025-01-01T00:00:00.000","41.4","VA","1"
"5609","2024-12-31T22:00:00.000","61.5","VA","1"
"5609","2024-12-31T23:00:00.000","55.0","VA","1"
"5609","2025-01-01T00:00:00.000","55.1","VA","1"
"5610","2024-12-31T22:00:00.000","30.7","VA","1"
"5610","2024-12-31T23:00:00.000","26.2","VA","1"
"5610","2025-01-01T00:00:00.000","27.4","VA","1"
"5611","2024-12-31T22:00:00.000","49.7","VA","1"
"5611","2024-12-31T23:00:00.000","50.7","VA","1"
